price,city,property_type,number_of_reviews,review_rating,season
70.0,THIRD WARD,Entire home/apt,9,3.56,summer
100.0,SIXTH WARD,Entire home/apt,308,4.75,spring
75.0,SECOND WARD,Entire home/apt,371,4.51,winter
95.0,SIXTH WARD,Entire home/apt,331,4.73,winter
86.0,SIXTH WARD,Entire home/apt,620,4.8,spring
52.0,SECOND WARD,Private room,418,4.56,spring
54.0,FOURTEENTH WARD,Private room,792,4.82,spring
264.0,FIFTEENTH WARD,Entire home/apt,188,4.96,spring
55.0,ELEVENTH WARD,Private room,231,4.81,winter
47.0,SIXTH WARD,Private room,28,4.82,winter
219.0,FIFTEENTH WARD,Entire home/apt,189,4.66,spring
260.0,FIFTEENTH WARD,Entire home/apt,113,4.96,spring
52.0,NINTH WARD,Private room,48,4.65,winter
60.0,FOURTEENTH WARD,Private room,489,4.76,spring
53.0,FIFTH WARD,Private room,132,4.92,summer
376.0,FIFTEENTH WARD,Entire home/apt,58,4.97,summer
70.0,NINTH WARD,Private room,82,4.96,fall
290.0,FOURTEENTH WARD,Entire home/apt,115,4.93,summer
196.0,FIFTEENTH WARD,Entire home/apt,77,4.95,spring
116.0,SEVENTH WARD,Entire home/apt,131,4.91,spring
68.0,NINTH WARD,Entire home/apt,48,4.92,spring
36.0,THIRTEENTH WARD,Private room,46,4.78,spring
60.0,NINTH WARD,Entire home/apt,131,4.85,summer
582.0,FIFTEENTH WARD,Entire home/apt,8,5.0,summer
67.0,TENTH WARD,Entire home/apt,181,4.75,spring
37.0,ELEVENTH WARD,Private room,32,4.84,winter
35.0,ELEVENTH WARD,Private room,26,4.77,winter
54.0,NINTH WARD,Private room,121,4.91,spring
68.0,FOURTEENTH WARD,Private room,122,4.93,fall
71.0,NINTH WARD,Private room,50,4.94,spring
72.0,SIXTH WARD,Entire home/apt,928,4.9,spring
93.0,SIXTH WARD,Private room,14,4.86,winter
80.0,SIXTH WARD,Entire home/apt,142,4.85,summer
54.0,NINTH WARD,Private room,26,5.0,fall
302.0,EIGHTH WARD,Entire home/apt,14,4.93,fall
75.0,SIXTH WARD,Private room,92,4.95,spring
59.0,NINTH WARD,Private room,271,4.96,spring
81.0,SECOND WARD,Entire home/apt,691,4.79,spring
56.0,SECOND WARD,Entire home/apt,628,4.72,summer
70.0,FOURTH WARD,Private room,7,5.0,summer
82.0,SIXTH WARD,Entire home/apt,107,4.65,spring
76.0,NINTH WARD,Private room,68,4.94,spring
47.0,FIFTEENTH WARD,Private room,32,4.75,spring
104.0,FOURTH WARD,Private room,1,5.0,fall
86.0,SECOND WARD,Entire home/apt,448,4.68,summer
87.0,SECOND WARD,Entire home/apt,459,4.76,summer
118.0,SECOND WARD,Entire home/apt,318,4.75,spring
50.0,SEVENTH WARD,Private room,198,4.98,spring
89.0,SECOND WARD,Entire home/apt,308,4.79,spring
126.0,THIRTEENTH WARD,Entire home/apt,54,4.8,summer
53.0,EIGHTH WARD,Private room,422,4.97,summer
104.0,SIXTH WARD,Entire home/apt,44,4.75,spring
110.0,NINTH WARD,Entire home/apt,24,4.46,spring
92.0,THIRTEENTH WARD,Entire home/apt,130,4.86,spring
121.0,FOURTH WARD,Entire home/apt,173,4.99,winter
97.0,SIXTH WARD,Entire home/apt,4,5.0,winter
122.0,SIXTH WARD,Entire home/apt,24,4.75,winter
52.0,FOURTEENTH WARD,Private room,187,4.91,winter
174.0,SECOND WARD,Entire home/apt,27,3.96,fall
102.0,FIRST WARD,Entire home/apt,115,4.8,summer
87.0,SECOND WARD,Entire home/apt,112,4.83,spring
114.0,SIXTH WARD,Entire home/apt,18,4.94,winter
248.0,EIGHTH WARD,Entire home/apt,91,4.91,fall
102.0,SIXTH WARD,Entire home/apt,370,4.97,spring
103.0,SIXTH WARD,Entire home/apt,302,4.99,spring
146.0,EIGHTH WARD,Entire home/apt,26,4.85,fall
132.0,FOURTEENTH WARD,Entire home/apt,129,4.95,winter
67.0,SECOND WARD,Entire home/apt,40,4.63,summer
89.0,NINTH WARD,Entire home/apt,154,4.72,spring
108.0,SECOND WARD,Entire home/apt,99,4.61,winter
